"Threads","Prob","Gets","Sets","Time","Ops/Sec"
1,20,1718018,438854,60,35947
1,50,1080153,1090612,60,36179
1,80,430481,1730538,60,36016
2,20,3274309,829371,60,68394
2,50,2065598,2075283,60,69014
2,80,848254,3390667,60,70648
3,20,3753959,947448,60,78356
3,50,2346753,2358861,60,78426
3,80,946498,3794087,60,79009
4,20,5448314,1373317,60,113693
4,50,3479525,3487813,60,116122
4,80,1434748,5755619,60,119839
5,20,5191565,1309569,60,108352
5,50,3322644,3330578,60,110887
5,80,1373258,5500506,60,114562
6,20,5558270,1398803,60,115951
6,50,3515457,3528415,60,117397
6,80,1449697,5814726,60,121073
7,20,5728315,1441738,60,119500
7,50,3645291,3656937,60,121703
7,80,1493387,5982076,60,124591
8,20,5878114,1478862,60,122616
8,50,3632437,3643449,60,121264
8,80,1442606,5775812,60,120306
9,20,6012111,1514443,60,125442
9,50,3810158,3821733,60,127198
9,80,1518134,6081585,60,126661
10,20,6110340,1537844,60,127469
10,50,3731425,3743140,60,124576
10,80,1467691,5888741,60,122607
11,20,6060131,1524284,60,126406
11,50,3660104,3666744,60,122114
11,80,1460783,5848032,60,121813
12,20,5960271,1498618,60,124314
12,50,3721707,3731160,60,124214
12,80,1544125,6175742,60,128664
13,20,5817484,1461334,60,121313
13,50,3722453,3728453,60,124181
13,80,1519177,6087658,60,126780
14,20,5843718,1472704,60,121940
14,50,3714638,3722017,60,123944
14,80,1540489,6165740,60,128437
15,20,5897683,1484109,60,123029
15,50,3748447,3758920,60,125122
15,80,1554970,6214787,60,129495
16,20,6035183,1518099,60,125888
16,50,3824800,3837543,60,127705
16,80,1590231,6368779,60,132650
