"Threads","Prob","Gets","Sets","Time","Ops/Sec"
1,20,3340719,844262,60,69749
1,50,1975041,1985100,60,66002
1,80,760249,3049884,60,63502
2,20,5603201,1410574,60,116896
2,50,3373066,3383764,60,112613
2,80,1303876,5220294,60,108736
3,20,6703736,1683824,60,139792
3,50,4061146,4067256,60,135473
3,80,1585666,6349930,60,132259
4,20,10260002,2572027,60,213867
4,50,6225643,6233487,60,207652
4,80,2360789,9454444,60,196920
5,20,9809582,2461301,60,204514
5,50,5883252,5892874,60,196268
5,80,2281387,9129616,60,190183
6,20,10396693,2610164,60,216780
6,50,6017702,6030856,60,200809
6,80,2288500,9153602,60,190701
7,20,10199578,2559345,60,212648
7,50,5684217,5692307,60,189608
7,80,1868223,7480863,60,155818
8,20,9866190,2479244,60,205757
8,50,5113703,5121312,60,170583
8,80,1920957,7695360,60,160271
9,20,9917004,2487659,60,206744
9,50,5327180,5340800,60,177799
9,80,1902954,7620514,60,158724
10,20,9990137,2507080,60,208286
10,50,5268336,5275027,60,175722
10,80,1944334,7782958,60,162121
11,20,9911781,2489701,60,206691
11,50,5392460,5404854,60,179955
11,80,1980183,7925884,60,165101
12,20,9759125,2452160,60,203521
12,50,5294103,5305589,60,176661
12,80,2115386,8472130,60,176458
13,20,9441048,2371149,60,196869
13,50,5365186,5376927,60,179035
13,80,2047746,8204965,60,170878
14,20,9258430,2324852,60,193054
14,50,5285687,5296948,60,176377
14,80,2068240,8280824,60,172484
15,20,9144016,2296990,60,190683
15,50,5291264,5300625,60,176531
15,80,2081013,8345176,60,173769
16,20,9130822,2293667,60,190408
16,50,5361122,5369551,60,178844
16,80,2111943,8447106,60,175984
