"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
87380,16384,1,10.00,2.06
87380,16384,2,10.00,4.12
87380,16384,4,10.00,7.25
87380,16384,8,10.00,15.83
87380,16384,16,10.00,31.46
87380,16384,32,10.00,98.28
87380,16384,64,10.00,197.35
87380,16384,128,10.00,358.56
87380,16384,256,10.00,624.76
87380,16384,512,10.00,1035.86
87380,16384,1024,10.00,1625.83
87380,16384,2048,10.00,2709.98
87380,16384,4096,10.00,3239.78
87380,16384,8192,10.00,3531.93
87380,16384,16384,10.00,4001.61
87380,16384,32768,10.00,3891.92
87380,16384,65536,10.00,3812.38
87380,16384,131072,10.00,4242.96
87380,16384,262144,10.00,4616.79
87380,16384,524288,10.00,5024.50
87380,16384,1048576,10.00,5193.10
