"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
87380,16384,1,10.00,1.84
87380,16384,2,10.00,3.36
87380,16384,4,10.00,7.12
87380,16384,8,10.00,14.47
87380,16384,16,10.00,28.76
87380,16384,32,10.00,58.30
87380,16384,64,10.00,115.55
87380,16384,128,10.00,228.62
87380,16384,256,10.00,450.95
87380,16384,512,10.00,885.96
87380,16384,1024,10.00,1585.19
87380,16384,2048,10.00,2961.31
87380,16384,4096,10.00,3888.56
87380,16384,8192,10.00,5514.96
87380,16384,16384,10.00,7498.15
87380,16384,32768,10.00,8988.88
87380,16384,65536,10.00,8379.86
87380,16384,131072,10.00,8406.19
87380,16384,262144,10.00,7825.17
87380,16384,524288,10.00,7741.83
87380,16384,1048576,10.00,7917.70
