"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
87380,16384,1,10.00,0.22
87380,16384,2,10.00,0.45
87380,16384,4,10.00,0.88
87380,16384,8,10.00,1.77
87380,16384,16,10.00,3.53
87380,16384,32,10.00,7.11
87380,16384,64,10.00,14.14
87380,16384,128,10.00,28.11
87380,16384,256,10.00,56.18
87380,16384,512,10.00,111.19
87380,16384,1024,10.00,228.34
87380,16384,2048,10.00,425.55
87380,16384,4096,10.00,810.27
87380,16384,8192,10.00,1463.59
87380,16384,16384,10.00,2504.54
87380,16384,32768,10.00,3785.77
87380,16384,65536,10.00,3778.43
87380,16384,131072,10.00,4259.41
87380,16384,262144,10.00,4663.04
87380,16384,524288,10.00,5051.90
87380,16384,1048576,10.00,5232.23
