"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
0,0,1,10.00,1.96
0,0,2,10.00,3.87
0,0,4,10.00,7.47
0,0,8,10.00,15.60
0,0,16,10.00,30.90
0,0,32,10.00,61.93
0,0,64,10.00,121.66
0,0,128,10.00,244.73
0,0,256,10.00,482.60
0,0,512,10.00,939.90
0,0,1024,10.00,1655.32
0,0,2048,10.00,3108.89
0,0,4096,10.00,3977.38
0,0,8192,10.00,5782.64
0,0,16384,10.00,7685.18
0,0,32768,10.00,7905.42
0,0,65536,10.00,7462.94
0,0,131072,10.00,7926.92
0,0,262144,10.00,8214.00
0,0,524288,10.00,8170.49
0,0,1048576,10.00,8226.89
