"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
2304,212992,1,10.00,1.94
2304,212992,2,10.00,3.93
2304,212992,4,10.00,7.53
2304,212992,8,10.00,15.23
2304,212992,16,10.00,30.64
2304,212992,32,10.00,61.36
2304,212992,64,10.00,124.75
2304,212992,128,10.00,244.26
2304,212992,256,10.00,468.63
2304,212992,512,10.00,904.07
2304,212992,1024,10.00,1636.47
2304,212992,2048,10.00,2900.34
2304,212992,4096,10.00,3757.66
2304,212992,8192,10.00,4740.68
2304,212992,16384,10.00,5761.67
2304,212992,32768,10.00,5670.26
2304,212992,65536,10.00,5631.40
2304,212992,131072,10.00,5726.73
2304,212992,262144,10.00,5783.60
2304,212992,524288,10.00,5770.92
2304,212992,1048576,10.00,5801.53
