"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
87380,16384,1,10.00,1.94
87380,16384,2,10.00,3.88
87380,16384,4,10.00,7.06
87380,16384,8,10.00,15.06
87380,16384,16,10.00,30.20
87380,16384,32,10.00,94.32
87380,16384,64,10.00,189.67
87380,16384,128,10.00,341.22
87380,16384,256,10.00,602.91
87380,16384,512,10.00,994.13
87380,16384,1024,10.00,1585.71
87380,16384,2048,10.00,2618.11
87380,16384,4096,10.00,3211.05
87380,16384,8192,10.00,3415.75
87380,16384,16384,10.00,3899.99
87380,16384,32768,10.00,3576.18
87380,16384,65536,10.00,3695.95
87380,16384,131072,10.00,4204.89
87380,16384,262144,10.00,4566.80
87380,16384,524288,10.00,4974.29
87380,16384,1048576,10.00,5159.05
