"Iteration","Time","Throughput (bps)","Bits","Bytes","Variance"
1,0.000010,0.765973,8,1,0.000000
1,0.000010,1.547396,16,2,0.000000
1,0.000010,2.325696,24,3,0.000000
1,0.000010,3.113344,32,4,0.000000
1,0.000010,4.536842,48,6,0.000000
1,0.000010,6.274720,64,8,0.000000
1,0.000010,9.105955,96,12,0.000000
1,0.000010,9.975996,104,13,0.000000
1,0.000010,12.056384,128,16,0.000000
1,0.000010,15.023764,152,19,0.000000
1,0.000010,16.183918,168,21,0.000000
1,0.000010,18.625859,192,24,0.000000
1,0.000010,20.557136,216,27,0.000000
1,0.000010,21.614512,232,29,0.000000
1,0.000010,24.290448,256,32,0.000000
1,0.000010,26.430855,280,35,0.000000
1,0.000010,33.712402,360,45,0.000000
1,0.000010,36.211724,384,48,0.000000
1,0.000010,39.597258,408,51,0.000000
1,0.000010,46.901233,488,61,0.000000
1,0.000010,48.014305,512,64,0.000000
1,0.000010,51.626042,536,67,0.000000
1,0.000010,70.003860,744,93,0.000000
1,0.000010,74.802558,768,96,0.000000
1,0.000010,75.040529,792,99,0.000000
1,0.000010,94.127089,1000,125,0.000000
1,0.000010,95.609375,1024,128,0.000000
1,0.000010,100.993252,1048,131,0.000000
1,0.000010,140.582724,1512,189,0.000000
1,0.000010,146.475339,1536,192,0.000000
1,0.000010,146.979201,1560,195,0.000000
1,0.000010,189.979474,2024,253,0.000000
1,0.000010,190.705800,2048,256,0.000000
1,0.000010,197.601277,2072,259,0.000000
1,0.000011,275.357046,3048,381,0.000000
1,0.000010,289.086974,3072,384,0.000000
1,0.000010,297.237892,3096,387,0.000000
1,0.000010,380.968993,4072,509,0.000000
1,0.000010,388.655915,4096,512,0.000000
1,0.000010,387.788823,4120,515,0.000000
1,0.000010,561.384263,6120,765,0.000000
1,0.000010,585.207179,6144,768,0.000000
1,0.000010,568.721027,6168,771,0.000000
1,0.000010,751.398338,8168,1021,0.000000
1,0.000010,761.956036,8192,1024,0.000000
1,0.000011,744.819284,8216,1027,0.000000
1,0.000011,1095.283592,12264,1533,0.000000
1,0.000011,1085.427829,12288,1536,0.000000
1,0.000011,1073.561476,12312,1539,0.000000
1,0.000011,1423.319350,16360,2045,0.000000
1,0.000011,1453.699659,16384,2048,0.000000
1,0.000011,1428.559504,16408,2051,0.000000
1,0.000011,2108.974794,24552,3069,0.000000
1,0.000011,2081.778101,24576,3072,0.000000
1,0.000011,2043.814334,24600,3075,0.000000
1,0.000011,2806.967278,32744,4093,0.000000
1,0.000012,2710.667860,32768,4096,0.000000
1,0.000011,2769.117114,32792,4099,0.000000
1,0.000012,3803.430384,49128,6141,0.000000
1,0.000012,3866.900867,49152,6144,0.000000
1,0.000012,3804.954476,49176,6147,0.000000
1,0.000012,5005.565342,65512,8189,0.000000
1,0.000013,4889.159355,65536,8192,0.000000
1,0.000013,4931.242555,65560,8195,0.000000
1,0.000014,6580.246004,98280,12285,0.000000
1,0.000014,6608.245140,98304,12288,0.000000
1,0.000014,6697.493471,98328,12291,0.000000
1,0.000016,7753.791856,131048,16381,0.000000
1,0.000016,7912.240894,131072,16384,0.000000
1,0.000016,7759.260158,131096,16387,0.000000
1,0.000020,9539.816848,196584,24573,0.000000
1,0.000019,9636.365864,196608,24576,0.000000
1,0.000019,9735.281403,196632,24579,0.000000
1,0.000023,10981.226561,262120,32765,0.000000
1,0.000022,11250.001935,262144,32768,0.000000
1,0.000023,10987.332152,262168,32771,0.000000
1,0.000030,12485.604416,393192,49149,0.000000
1,0.000030,12386.161980,393216,49152,0.000000
1,0.000031,12288.697681,393240,49155,0.000000
1,0.000041,12301.245117,524264,65533,0.000000
1,0.000040,12349.393996,524288,65536,0.000000
1,0.000041,12106.431083,524312,65539,0.000000
1,0.000052,14501.156569,786408,98301,0.000000
1,0.000051,14645.457931,786432,98304,0.000000
1,0.000052,14441.276762,786456,98307,0.000000
1,0.000063,15802.588619,1048552,131069,0.000000
1,0.000064,15737.056337,1048576,131072,0.000000
1,0.000069,14570.704889,1048600,131075,0.000000
1,0.000082,18270.637272,1572840,196605,0.000000
1,0.000082,18343.372546,1572864,196608,0.000000
1,0.000080,18640.537977,1572888,196611,0.000000
1,0.000105,19078.122009,2097128,262141,0.000000
