"Iteration","Time","Throughput (bps)","Bits","Bytes","Variance"
1,0.000005,1.582736,8,1,0.000000
1,0.000005,2.986289,16,2,0.000000
1,0.000005,4.561508,24,3,0.000000
1,0.000005,6.735161,32,4,0.000000
1,0.000005,9.738953,48,6,0.000000
1,0.000005,11.271588,64,8,0.000000
1,0.000004,20.638701,96,12,0.000000
1,0.000005,21.269372,104,13,0.000000
1,0.000005,24.961880,128,16,0.000000
1,0.000005,26.635296,152,19,0.000000
1,0.000005,35.213825,168,21,0.000000
1,0.000005,39.571308,192,24,0.000000
1,0.000005,41.599853,216,27,0.000000
1,0.000004,51.180022,232,29,0.000000
1,0.000005,44.839939,256,32,0.000000
1,0.000005,55.669809,280,35,0.000000
1,0.000005,64.919596,360,45,0.000000
1,0.000004,89.814312,384,48,0.000000
1,0.000005,83.044592,408,51,0.000000
1,0.000005,86.176033,488,61,0.000000
1,0.000004,119.529080,512,64,0.000000
1,0.000005,102.088305,536,67,0.000000
1,0.000004,171.483332,744,93,0.000000
1,0.000005,135.330100,768,96,0.000000
1,0.000005,164.620782,792,99,0.000000
1,0.000005,195.804576,1000,125,0.000000
1,0.000005,209.808489,1024,128,0.000000
1,0.000005,218.955899,1048,131,0.000000
1,0.000005,298.133386,1512,189,0.000000
1,0.000005,287.618661,1536,192,0.000000
1,0.000005,304.754007,1560,195,0.000000
1,0.000004,462.686312,2024,253,0.000000
1,0.000004,453.611435,2048,256,0.000000
1,0.000005,410.015981,2072,259,0.000000
1,0.000004,656.812514,3048,381,0.000000
1,0.000005,625.094192,3072,384,0.000000
1,0.000004,656.722534,3096,387,0.000000
1,0.000005,729.225631,4072,509,0.000000
1,0.000005,720.534103,4096,512,0.000000
1,0.000005,754.753405,4120,515,0.000000
1,0.000005,1141.126642,6120,765,0.000000
1,0.000005,1281.434122,6144,768,0.000000
1,0.000005,1124.713448,6168,771,0.000000
1,0.000005,1663.058703,8168,1021,0.000000
1,0.000005,1693.344783,8192,1024,0.000000
1,0.000005,1552.551113,8216,1027,0.000000
1,0.000005,2283.031202,12264,1533,0.000000
1,0.000005,2262.587210,12288,1536,0.000000
1,0.000005,2231.257704,12312,1539,0.000000
1,0.000004,3524.969927,16360,2045,0.000000
1,0.000005,3173.000494,16384,2048,0.000000
1,0.000005,2923.395461,16408,2051,0.000000
1,0.000005,4645.021239,24552,3069,0.000000
1,0.000005,4479.272605,24576,3072,0.000000
1,0.000005,4600.837473,24600,3075,0.000000
1,0.000005,6056.945706,32744,4093,0.000000
1,0.000005,6286.049360,32768,4096,0.000000
1,0.000006,5108.449091,32792,4099,0.000000
1,0.000007,7016.833078,49128,6141,0.000000
1,0.000007,7155.965431,49152,6144,0.000000
1,0.000007,7062.159701,49176,6147,0.000000
1,0.000007,9076.871939,65512,8189,0.000000
1,0.000007,8900.976398,65536,8192,0.000000
1,0.000007,9014.434345,65560,8195,0.000000
1,0.000011,8472.086749,98280,12285,0.000000
1,0.000011,8381.864674,98304,12288,0.000000
1,0.000011,8788.699598,98328,12291,0.000000
1,0.000011,10974.115454,131048,16381,0.000000
1,0.000012,10237.868325,131072,16384,0.000000
1,0.000011,10941.107090,131096,16387,0.000000
1,0.000015,12395.009075,196584,24573,0.000000
1,0.000015,12753.467492,196608,24576,0.000000
1,0.000015,12768.452471,196632,24579,0.000000
1,0.000016,15175.078200,262120,32765,0.000000
1,0.000017,14936.996882,262144,32768,0.000000
1,0.000017,14877.846172,262168,32771,0.000000
1,0.000023,16554.621041,393192,49149,0.000000
1,0.000023,16326.931737,393216,49152,0.000000
1,0.000022,16745.634938,393240,49155,0.000000
1,0.000028,17803.003333,524264,65533,0.000000
1,0.000028,17729.088785,524288,65536,0.000000
1,0.000029,17179.071916,524312,65539,0.000000
1,0.000039,19283.836236,786408,98301,0.000000
1,0.000039,19186.564979,786432,98304,0.000000
1,0.000039,19203.291912,786456,98307,0.000000
1,0.000051,19658.535525,1048552,131069,0.000000
1,0.000051,19734.952911,1048576,131072,0.000000
1,0.000052,19266.062797,1048600,131075,0.000000
1,0.000066,22860.411770,1572840,196605,0.000000
