"Iteration", "Perturbation", "Bytes","Throughput (Mbps)","Time (s)"
1,1,1,0.828603,0.00000921
1,1,2,1.643000,0.00000929
1,1,3,2.437570,0.00000939
1,1,4,3.243589,0.00000941
1,1,6,4.840520,0.00000946
1,1,8,6.414468,0.00000952
1,1,12,9.436658,0.00000970
1,1,13,10.988245,0.00000903
1,1,16,12.964818,0.00000942
1,1,19,15.931226,0.00000910
1,1,21,17.231215,0.00000930
1,1,24,19.567453,0.00000936
1,1,27,21.717533,0.00000949
1,1,29,23.707097,0.00000933
1,1,32,26.128687,0.00000934
1,1,35,27.873442,0.00000958
1,1,45,36.494502,0.00000941
1,1,48,39.430059,0.00000929
1,1,51,41.434789,0.00000939
1,1,61,48.296764,0.00000964
1,1,64,54.332108,0.00000899
1,1,67,57.037327,0.00000896
1,1,93,75.422035,0.00000941
1,1,96,78.709420,0.00000931
1,1,99,79.625019,0.00000949
1,1,125,104.451734,0.00000913
1,1,128,109.852779,0.00000889
1,1,131,107.191734,0.00000932
1,1,189,149.483836,0.00000965
1,1,192,162.282997,0.00000903
1,1,195,154.552176,0.00000963
1,1,253,198.910688,0.00000970
1,1,256,209.908126,0.00000930
1,1,259,216.297267,0.00000914
1,1,381,309.559519,0.00000939
1,1,384,311.963608,0.00000939
1,1,387,314.876479,0.00000938
1,1,509,404.773806,0.00000959
1,1,512,404.733433,0.00000965
1,1,515,405.813298,0.00000968
1,1,765,592.050652,0.00000986
1,1,768,618.143415,0.00000948
1,1,771,627.334972,0.00000938
1,1,1021,874.935394,0.00000890
1,1,1024,824.241316,0.00000948
1,1,1027,842.309089,0.00000930
1,1,1533,1165.561919,0.00001003
1,1,1536,1173.050101,0.00000999
1,1,1539,1188.894904,0.00000988
1,1,2045,1502.144700,0.00001039
1,1,2048,1524.719500,0.00001025
1,1,2051,1611.708869,0.00000971
1,1,3069,2253.415223,0.00001039
1,1,3072,2278.951846,0.00001028
1,1,3075,2285.851431,0.00001026
1,1,4093,3009.965264,0.00001037
1,1,4096,3118.404101,0.00001002
1,1,4099,3045.104892,0.00001027
1,1,6141,4525.553648,0.00001035
1,1,6144,4416.377100,0.00001061
1,1,6147,4401.993242,0.00001065
1,1,8189,5950.111494,0.00001050
1,1,8192,5677.641104,0.00001101
1,1,8195,5655.445334,0.00001106
1,1,12285,8210.696853,0.00001142
1,1,12288,8059.953284,0.00001163
1,1,12291,8067.389925,0.00001162
1,1,16381,9823.132480,0.00001272
1,1,16384,9927.242091,0.00001259
1,1,16387,9790.601961,0.00001277
1,1,24573,13427.720125,0.00001396
1,1,24576,13544.937345,0.00001384
1,1,24579,13341.077692,0.00001406
1,1,32765,15761.670348,0.00001586
1,1,32768,16071.654070,0.00001556
1,1,32771,16246.763997,0.00001539
1,1,49149,18259.899201,0.00002054
1,1,49152,18298.457042,0.00002049
1,1,49155,18752.272662,0.00002000
1,1,65533,18248.643940,0.00002740
1,1,65536,18331.449559,0.00002728
1,1,65539,18288.213279,0.00002734
1,1,98301,23212.606581,0.00003231
1,1,98304,23324.426656,0.00003216
1,1,98307,23301.234335,0.00003219
1,1,131069,26644.112063,0.00003753
1,1,131072,26584.186129,0.00003762
1,1,131075,26556.447172,0.00003766
1,1,196605,30711.688610,0.00004884
1,1,196608,30693.981000,0.00004887
1,1,196611,30746.080651,0.00004879
1,1,262141,30934.030711,0.00006465
1,1,262144,31132.612762,0.00006424
1,1,262147,30753.482106,0.00006503
1,1,393213,34878.153114,0.00008601
1,1,393216,35192.320434,0.00008525
1,1,393219,35189.546952,0.00008525
1,1,524285,38577.164398,0.00010369
1,1,524288,38343.376539,0.00010432
1,1,524291,38433.973385,0.00010408
1,1,786429,40159.144658,0.00014941
1,1,786432,40282.081526,0.00014895
1,1,786435,40248.976223,0.00014907
1,1,1048573,41443.461246,0.00019303
1,1,1048576,41599.323581,0.00019231
1,1,1048579,41393.674947,0.00019327
1,1,1572861,41958.003083,0.00028600
1,1,1572864,42235.029672,0.00028412
1,1,1572867,41762.787451,0.00028734
1,1,2097149,38696.036446,0.00041348
1,1,2097152,38879.835463,0.00041152
1,1,2097155,39044.039716,0.00040979
1,1,3145725,29459.525900,0.00081468
1,1,3145728,29181.056287,0.00082245
1,1,3145731,27587.969549,0.00086995
1,1,4194301,22243.752523,0.00143861
1,1,4194304,22613.212185,0.00141510
1,1,4194307,22671.382640,0.00141147
1,1,6291453,24159.814578,0.00198677
1,1,6291456,23921.885932,0.00200653
1,1,6291459,23906.188158,0.00200785
1,1,8388605,24263.081464,0.00263775
1,1,8388608,24069.172335,0.00265900
1,1,8388611,24019.048532,0.00266455
1,1,12582909,24370.641210,0.00393917
1,1,12582912,24349.865707,0.00394253
1,1,12582915,24412.337482,0.00393244
1,1,16777213,24051.129505,0.00532199
1,1,16777216,24065.935540,0.00531872
1,1,16777219,24053.600056,0.00532145
2,2,1,0.829888,0.00000919
2,2,2,1.701548,0.00000897
2,2,3,2.405277,0.00000952
2,2,4,3.241977,0.00000941
2,2,6,5.001787,0.00000915
2,2,8,6.786039,0.00000899
2,2,12,9.612018,0.00000952
2,2,13,10.693465,0.00000928
2,2,16,13.237068,0.00000922
2,2,19,15.593316,0.00000930
2,2,21,17.045374,0.00000940
2,2,24,19.356597,0.00000946
2,2,27,21.856863,0.00000942
2,2,29,23.972628,0.00000923
2,2,32,27.424475,0.00000890
2,2,35,29.389952,0.00000909
2,2,45,36.048148,0.00000952
2,2,48,38.817977,0.00000943
2,2,51,42.364770,0.00000918
2,2,61,48.678560,0.00000956
2,2,64,52.296457,0.00000934
2,2,67,55.901297,0.00000914
2,2,93,78.455105,0.00000904
2,2,96,78.925864,0.00000928
2,2,99,86.357712,0.00000875
2,2,125,101.621992,0.00000938
2,2,128,104.469877,0.00000935
2,2,131,107.948839,0.00000926
2,2,189,150.931777,0.00000955
2,2,192,154.781155,0.00000946
2,2,195,162.101646,0.00000918
2,2,253,219.002449,0.00000881
2,2,256,210.399800,0.00000928
2,2,259,207.375742,0.00000953
2,2,381,307.613415,0.00000945
2,2,384,307.466391,0.00000953
2,2,387,307.949643,0.00000959
2,2,509,412.874559,0.00000941
2,2,512,406.717329,0.00000960
2,2,515,422.633569,0.00000930
2,2,765,619.476788,0.00000942
2,2,768,635.501804,0.00000922
2,2,771,618.162150,0.00000952
2,2,1021,849.485906,0.00000917
2,2,1024,804.322906,0.00000971
2,2,1027,813.208905,0.00000964
2,2,1533,1157.445003,0.00001010
2,2,1536,1174.216382,0.00000998
2,2,1539,1164.083681,0.00001009
2,2,2045,1603.610588,0.00000973
2,2,2048,1605.254128,0.00000973
2,2,2051,1570.686609,0.00000996
2,2,3069,2344.254465,0.00000999
2,2,3072,2279.507103,0.00001028
2,2,3075,2322.268567,0.00001010
2,2,4093,3232.311090,0.00000966
2,2,4096,3057.227928,0.00001022
2,2,4099,2987.175094,0.00001047
2,2,6141,4445.104108,0.00001054
2,2,6144,4510.363663,0.00001039
2,2,6147,4631.140229,0.00001013
2,2,8189,5762.697420,0.00001084
2,2,8192,5890.216161,0.00001061
2,2,8195,5705.804289,0.00001096
2,2,12285,8047.104403,0.00001165
2,2,12288,8115.543067,0.00001155
2,2,12291,8083.288410,0.00001160
2,2,16381,9792.824258,0.00001276
2,2,16384,10109.959612,0.00001236
2,2,16387,9916.407625,0.00001261
2,2,24573,13007.261344,0.00001441
2,2,24576,13163.054040,0.00001424
2,2,24579,13145.408652,0.00001427
2,2,32765,16156.093470,0.00001547
2,2,32768,16321.290770,0.00001532
2,2,32771,15760.572652,0.00001586
2,2,49149,18438.941488,0.00002034
2,2,49152,18492.170157,0.00002028
2,2,49155,18466.613997,0.00002031
2,2,65533,18057.720875,0.00002769
2,2,65536,18199.936823,0.00002747
2,2,65539,18231.103087,0.00002743
2,2,98301,23219.085228,0.00003230
2,2,98304,23182.531981,0.00003235
2,2,98307,23159.454285,0.00003239
2,2,131069,26641.152303,0.00003754
2,2,131072,26335.810161,0.00003797
2,2,131075,26614.418515,0.00003757
2,2,196605,30578.920575,0.00004905
2,2,196608,30731.781559,0.00004881
2,2,196611,30729.867372,0.00004881
2,2,262141,31198.599485,0.00006410
2,2,262144,30920.951336,0.00006468
2,2,262147,31138.351054,0.00006423
2,2,393213,34952.391461,0.00008583
2,2,393216,34938.713431,0.00008586
2,2,393219,34858.964300,0.00008606
2,2,524285,38646.144103,0.00010350
2,2,524288,38685.600321,0.00010340
2,2,524291,38702.542995,0.00010335
2,2,786429,40193.997292,0.00014928
2,2,786432,40020.029716,0.00014992
2,2,786435,40021.162632,0.00014992
2,2,1048573,41916.250314,0.00019086
2,2,1048576,41925.169597,0.00019082
2,2,1048579,41977.206398,0.00019058
2,2,1572861,41565.250330,0.00028870
2,2,1572864,42086.989704,0.00028512
2,2,1572867,42226.213841,0.00028418
2,2,2097149,40096.751631,0.00039903
2,2,2097152,39092.602862,0.00040928
2,2,2097155,38942.326420,0.00041086
2,2,3145725,28759.420290,0.00083451
2,2,3145728,29134.260649,0.00082377
2,2,3145731,27619.163338,0.00086896
2,2,4194301,22357.250011,0.00143130
2,2,4194304,22843.226362,0.00140085
2,2,4194307,22824.552400,0.00140200
2,2,6291453,23932.152286,0.00200567
2,2,6291456,23934.338806,0.00200549
2,2,6291459,23807.543499,0.00201617
2,2,8388605,23976.741873,0.00266925
2,2,8388608,24046.592869,0.00266150
2,2,8388611,24086.578645,0.00265708
2,2,12582909,24633.963877,0.00389706
2,2,12582912,24381.319200,0.00393744
2,2,12582915,24381.710384,0.00393738
2,2,16777213,23943.129902,0.00534600
2,2,16777216,24122.103306,0.00530634
2,2,16777219,24108.747805,0.00530928
3,3,1,0.812296,0.00000939
3,3,2,1.638435,0.00000931
3,3,3,2.430090,0.00000942
3,3,4,3.249537,0.00000939
3,3,6,4.828014,0.00000948
3,3,8,6.687133,0.00000913
3,3,12,9.800442,0.00000934
3,3,13,10.459126,0.00000948
3,3,16,12.860079,0.00000949
3,3,19,15.318248,0.00000946
3,3,21,17.701450,0.00000905
3,3,24,19.935432,0.00000918
3,3,27,22.228204,0.00000927
3,3,29,23.909108,0.00000925
