"Iteration", "Perturbation", "Bytes","Throughput (Mbps)","Time (s)"
1,1,1,0.820779,0.00000930
1,1,2,2.830023,0.00000539
1,1,3,4.282095,0.00000535
1,1,4,5.569353,0.00000548
1,1,6,8.367655,0.00000547
1,1,8,11.279751,0.00000541
1,1,12,16.692605,0.00000548
1,1,13,18.705871,0.00000530
1,1,16,24.684334,0.00000495
1,1,19,34.840529,0.00000416
1,1,21,29.297786,0.00000547
1,1,24,34.259492,0.00000534
1,1,27,38.354210,0.00000537
1,1,29,40.374873,0.00000548
1,1,32,44.693581,0.00000546
1,1,35,48.798846,0.00000547
1,1,45,62.625123,0.00000548
1,1,48,66.875744,0.00000548
1,1,51,72.517159,0.00000537
1,1,61,90.519638,0.00000514
1,1,64,110.156442,0.00000443
1,1,67,104.181016,0.00000491
1,1,93,128.906593,0.00000550
1,1,96,138.151367,0.00000530
1,1,99,141.352922,0.00000534
1,1,125,175.574390,0.00000543
1,1,128,179.791013,0.00000543
1,1,131,184.854962,0.00000541
1,1,189,279.702573,0.00000516
1,1,192,273.671486,0.00000535
1,1,195,275.651141,0.00000540
1,1,253,354.827098,0.00000544
1,1,256,530.600957,0.00000368
1,1,259,364.899699,0.00000542
1,1,381,556.647238,0.00000522
1,1,384,577.131271,0.00000508
1,1,387,589.246063,0.00000501
1,1,509,711.509661,0.00000546
1,1,512,713.710497,0.00000547
1,1,515,717.475843,0.00000548
1,1,765,1057.499473,0.00000552
1,1,768,1068.227591,0.00000549
1,1,771,1071.903410,0.00000549
1,1,1021,1413.948955,0.00000551
1,1,1024,1591.068093,0.00000491
1,1,1027,1429.506198,0.00000548
1,1,1533,2101.160498,0.00000557
1,1,1536,2127.354657,0.00000551
1,1,1539,2146.050630,0.00000547
1,1,2045,2791.241843,0.00000559
1,1,2048,2805.055010,0.00000557
1,1,2051,2823.557607,0.00000554
1,1,3069,4279.830155,0.00000547
1,1,3072,4205.575933,0.00000557
1,1,3075,4276.078278,0.00000549
1,1,4093,5422.182144,0.00000576
1,1,4096,6522.673853,0.00000479
1,1,4099,6678.199518,0.00000468
1,1,6141,8265.253185,0.00000567
1,1,6144,8346.259722,0.00000562
1,1,6147,8187.782105,0.00000573
1,1,8189,10651.042769,0.00000587
1,1,8192,10509.487122,0.00000595
1,1,8195,10605.224568,0.00000590
1,1,12285,14596.599482,0.00000642
1,1,12288,14757.558000,0.00000635
1,1,12291,14756.827994,0.00000635
1,1,16381,18822.316072,0.00000664
1,1,16384,18931.522137,0.00000660
1,1,16387,16812.238579,0.00000744
1,1,24573,24148.769411,0.00000776
1,1,24576,24309.272474,0.00000771
1,1,24579,23914.169891,0.00000784
1,1,32765,18938.117249,0.00001320
1,1,32768,19797.571578,0.00001263
1,1,32771,19094.518189,0.00001309
1,1,49149,26534.669220,0.00001413
1,1,49152,26849.784176,0.00001397
1,1,49155,26896.441077,0.00001394
1,1,65533,31445.877536,0.00001590
1,1,65536,31277.093500,0.00001599
1,1,65539,31054.965721,0.00001610
1,1,98301,38627.469231,0.00001942
1,1,98304,38031.206053,0.00001972
1,1,98307,38579.180587,0.00001944
1,1,131069,42437.890240,0.00002356
1,1,131072,41451.716962,0.00002412
1,1,131075,41887.395412,0.00002387
1,1,196605,47309.913813,0.00003171
1,1,196608,47091.686220,0.00003185
1,1,196611,47248.014991,0.00003175
1,1,262141,51766.164301,0.00003863
1,1,262144,51620.607386,0.00003874
1,1,262147,50260.106591,0.00003979
1,1,393213,53756.348001,0.00005581
1,1,393216,53667.290337,0.00005590
1,1,393219,54059.020511,0.00005550
1,1,524285,55416.670796,0.00007218
1,1,524288,53987.674600,0.00007409
1,1,524291,55954.259882,0.00007149
1,1,786429,57355.961186,0.00010461
1,1,786432,56454.526972,0.00010628
1,1,786435,56162.432004,0.00010683
1,1,1048573,58022.722752,0.00013788
1,1,1048576,58133.361972,0.00013761
1,1,1048579,58621.248314,0.00013647
1,1,1572861,59792.002778,0.00020070
1,1,1572864,59758.347290,0.00020081
1,1,1572867,59611.509033,0.00020130
1,1,2097149,60548.271088,0.00026425
1,1,2097152,59430.533417,0.00026922
1,1,2097155,59486.917357,0.00026897
1,1,3145725,56513.659793,0.00042468
1,1,3145728,53301.498140,0.00045027
1,1,3145731,53142.313992,0.00045162
1,1,4194301,44587.734527,0.00071769
1,1,4194304,43929.413479,0.00072844
1,1,4194307,43834.753131,0.00073001
1,1,6291453,35272.570578,0.00136083
1,1,6291456,35904.893491,0.00133687
1,1,6291459,36077.214731,0.00133048
1,1,8388605,35355.239104,0.00181020
1,1,8388608,35041.167072,0.00182642
1,1,8388611,34965.276728,0.00183039
1,1,12582909,35573.377887,0.00269865
1,1,12582912,34387.003441,0.00279175
1,1,12582915,34702.254797,0.00276639
1,1,16777213,34713.813118,0.00368729
1,1,16777216,34975.216078,0.00365973
1,1,16777219,35036.410799,0.00365334
2,2,1,0.824574,0.00000925
2,2,2,2.765995,0.00000552
2,2,3,4.500568,0.00000509
2,2,4,5.556095,0.00000549
2,2,6,8.513602,0.00000538
2,2,8,14.663533,0.00000416
2,2,12,17.055585,0.00000537
2,2,13,21.605329,0.00000459
2,2,16,22.656842,0.00000539
2,2,19,26.843891,0.00000540
2,2,21,31.807352,0.00000504
2,2,24,35.761083,0.00000512
2,2,27,38.099846,0.00000541
2,2,29,51.745983,0.00000428
2,2,32,45.314530,0.00000539
2,2,35,51.249185,0.00000521
2,2,45,66.113975,0.00000519
2,2,48,67.495800,0.00000543
2,2,51,73.481957,0.00000530
2,2,61,84.573361,0.00000550
2,2,64,89.032000,0.00000548
2,2,67,93.494993,0.00000547
2,2,93,129.169850,0.00000549
2,2,96,139.276165,0.00000526
2,2,99,160.423201,0.00000471
2,2,125,223.993039,0.00000426
2,2,128,181.758391,0.00000537
2,2,131,207.604897,0.00000481
2,2,189,267.252744,0.00000540
2,2,192,380.244600,0.00000385
2,2,195,277.930061,0.00000535
2,2,253,521.746405,0.00000370
2,2,256,442.133483,0.00000442
2,2,259,361.259370,0.00000547
2,2,381,538.288476,0.00000540
2,2,384,538.940667,0.00000544
2,2,387,646.254115,0.00000457
2,2,509,705.533735,0.00000550
2,2,512,719.636755,0.00000543
2,2,515,726.603538,0.00000541
2,2,765,1068.515338,0.00000546
2,2,768,1540.729965,0.00000380
2,2,771,1067.033905,0.00000551
2,2,1021,1424.805544,0.00000547
2,2,1024,1431.121560,0.00000546
2,2,1027,1425.775794,0.00000550
2,2,1533,2102.684218,0.00000556
2,2,1536,2125.780478,0.00000551
2,2,1539,3089.332977,0.00000380
2,2,2045,2791.069679,0.00000559
2,2,2048,3920.175838,0.00000399
2,2,2051,2854.929472,0.00000548
2,2,3069,4301.214198,0.00000544
2,2,3072,4228.247837,0.00000554
2,2,3075,4784.733454,0.00000490
2,2,4093,6079.837471,0.00000514
2,2,4096,5713.152526,0.00000547
2,2,4099,5768.960773,0.00000542
2,2,6141,8275.302620,0.00000566
2,2,6144,8315.496600,0.00000564
2,2,6147,9061.586845,0.00000518
2,2,8189,10413.786390,0.00000600
2,2,8192,10539.259421,0.00000593
2,2,8195,10564.868266,0.00000592
2,2,12285,14767.637653,0.00000635
2,2,12288,14929.122453,0.00000628
2,2,12291,14939.238383,0.00000628
2,2,16381,18945.302796,0.00000660
2,2,16384,19017.070046,0.00000657
2,2,16387,19062.768185,0.00000656
2,2,24573,25153.041725,0.00000745
2,2,24576,24003.275382,0.00000781
2,2,24579,25140.500637,0.00000746
2,2,32765,25669.607510,0.00000974
2,2,32768,27289.931053,0.00000916
2,2,32771,29683.526435,0.00000842
2,2,49149,27016.343193,0.00001388
2,2,49152,26877.046311,0.00001395
2,2,49155,25610.794450,0.00001464
2,2,65533,31124.628009,0.00001606
2,2,65536,31152.710203,0.00001605
2,2,65539,31247.336533,0.00001600
2,2,98301,38716.843572,0.00001937
2,2,98304,38809.483433,0.00001933
2,2,98307,39290.191078,0.00001909
2,2,131069,41579.391493,0.00002405
2,2,131072,42513.153867,0.00002352
2,2,131075,41576.270119,0.00002405
2,2,196605,47113.384963,0.00003184
2,2,196608,47299.762596,0.00003171
2,2,196611,47545.122761,0.00003155
2,2,262141,50338.508371,0.00003973
2,2,262144,50448.626253,0.00003964
2,2,262147,50405.774059,0.00003968
2,2,393213,53498.999185,0.00005608
2,2,393216,53833.256648,0.00005573
2,2,393219,53317.830508,0.00005627
2,2,524285,55020.815724,0.00007270
2,2,524288,55952.015767,0.00007149
2,2,524291,54744.380021,0.00007307
2,2,786429,57540.507675,0.00010427
2,2,786432,57872.560351,0.00010368
2,2,786435,57962.104901,0.00010352
2,2,1048573,59569.602329,0.00013430
2,2,1048576,59261.635735,0.00013499
2,2,1048579,58630.181059,0.00013645
2,2,1572861,59488.276894,0.00020172
2,2,1572864,59901.557060,0.00020033
2,2,1572867,59884.171172,0.00020039
2,2,2097149,60890.258635,0.00026277
2,2,2097152,60934.732415,0.00026258
2,2,2097155,60937.149302,0.00026257
2,2,3145725,58054.004832,0.00041341
2,2,3145728,54250.215173,0.00044239
2,2,3145731,54784.090328,0.00043808
2,2,4194301,44255.985769,0.00072307
2,2,4194304,44213.486641,0.00072376
2,2,4194307,43999.049118,0.00072729
2,2,6291453,34678.755656,0.00138413
2,2,6291456,35998.854197,0.00133338
2,2,6291459,35594.278624,0.00134853
2,2,8388605,33942.102451,0.00188556
2,2,8388608,34956.559780,0.00183084
2,2,8388611,34960.638574,0.00183063
2,2,12582909,35263.850013,0.00272233
2,2,12582912,34847.290684,0.00275488
2,2,12582915,34893.225203,0.00275125
2,2,16777213,34923.821794,0.00366512
2,2,16777216,34469.872261,0.00371339
2,2,16777219,34525.381357,0.00370742
3,3,1,0.836732,0.00000912
3,3,2,2.834302,0.00000538
3,3,3,4.240034,0.00000540
3,3,4,5.814062,0.00000525
3,3,6,8.430353,0.00000543
3,3,8,17.074888,0.00000357
3,3,12,16.804175,0.00000545
3,3,13,18.363430,0.00000540
3,3,16,23.081071,0.00000529
3,3,19,26.532079,0.00000546
3,3,21,29.137057,0.00000550
3,3,24,37.295412,0.00000491
3,3,27,37.706694,0.00000546
3,3,29,41.961892,0.00000527
3,3,32,45.435564,0.00000537
3,3,35,50.115282,0.00000533
3,3,45,84.339256,0.00000407
3,3,48,72.332392,0.00000506
3,3,51,76.343414,0.00000510
3,3,61,84.898590,0.00000548
3,3,64,89.350721,0.00000546
3,3,67,94.726210,0.00000540
3,3,93,140.058477,0.00000507
3,3,96,136.579463,0.00000536
3,3,99,138.166622,0.00000547
3,3,125,173.570946,0.00000549
3,3,128,181.193376,0.00000539
3,3,131,184.215609,0.00000543
3,3,189,301.464914,0.00000478
3,3,192,274.696013,0.00000533
3,3,195,307.888386,0.00000483
3,3,253,383.797763,0.00000503
3,3,256,486.621838,0.00000401
3,3,259,365.974805,0.00000540
3,3,381,528.748627,0.00000550
3,3,384,535.840159,0.00000547
3,3,387,555.538835,0.00000531
3,3,509,707.509983,0.00000549
3,3,512,713.480698,0.00000547
3,3,515,781.114529,0.00000503
3,3,765,1272.511654,0.00000459
3,3,768,1071.330615,0.00000547
3,3,771,1068.198857,0.00000551
3,3,1021,1412.388139,0.00000552
3,3,1024,1418.362703,0.00000551
3,3,1027,1421.986846,0.00000551
3,3,1533,2129.980014,0.00000549
3,3,1536,2117.804842,0.00000553
3,3,1539,2129.802674,0.00000551
3,3,2045,2828.925026,0.00000552
3,3,2048,2808.869497,0.00000556
3,3,2051,2929.793567,0.00000534
3,3,3069,4945.592019,0.00000473
3,3,3072,4720.356644,0.00000497
3,3,3075,4311.156990,0.00000544
3,3,4093,5643.323547,0.00000553
3,3,4096,5466.111315,0.00000572
3,3,4099,6442.020302,0.00000485
3,3,6141,8050.580500,0.00000582
3,3,6144,8335.194839,0.00000562
3,3,6147,8398.429032,0.00000558
3,3,8189,10613.478846,0.00000589
3,3,8192,10665.562392,0.00000586
3,3,8195,10728.688586,0.00000583
3,3,12285,15641.065189,0.00000599
3,3,12288,15161.747376,0.00000618
3,3,12291,14919.706734,0.00000629
3,3,16381,18681.352768,0.00000669
3,3,16384,18998.042127,0.00000658
3,3,16387,16279.995180,0.00000768
3,3,24573,21026.822509,0.00000892
3,3,24576,23720.429151,0.00000790
3,3,24579,25082.152317,0.00000748
3,3,32765,23725.780273,0.00001054
3,3,32768,27192.276082,0.00000919
3,3,32771,26689.935300,0.00000937
3,3,49149,27631.925590,0.00001357
3,3,49152,27629.878132,0.00001357
3,3,49155,26106.867060,0.00001436
3,3,65533,31038.657697,0.00001611
3,3,65536,31025.665302,0.00001612
3,3,65539,31008.363998,0.00001613
3,3,98301,39205.549871,0.00001913
3,3,98304,39178.194879,0.00001914
3,3,98307,39289.301977,0.00001909
3,3,131069,41620.037215,0.00002403
3,3,131072,44199.531204,0.00002262
3,3,131075,44583.504877,0.00002243
3,3,196605,48522.591688,0.00003091
3,3,196608,46764.126450,0.00003208
3,3,196611,46942.355641,0.00003195
