"Scale Factor","Iteration","TPS (incl)", "TPS (excl)"
1,1,16849.561565,16853.844772
1,2,16905.332130,16909.645907
1,3,16501.436129,16505.650053
1,4,16820.672858,16824.949847
1,5,16721.461524,16725.718517
1,6,16772.746021,16777.027787
1,7,16687.795492,16692.042914
1,8,16754.887739,16759.181360
1,9,16932.788800,16937.133020
1,10,16833.969336,16838.258395
20,1,16581.296923,16585.525773
20,2,16706.795281,16711.046906
20,3,16584.001263,16588.228436
20,4,16653.402455,16657.661693
20,5,16689.532864,16693.775813
20,6,16585.071212,16589.292207
20,7,16573.435572,16577.648898
20,8,16633.099992,16637.324708
20,9,16590.430026,16594.669027
20,10,16735.336959,16739.626769
40,1,16622.049481,16626.289688
40,2,16572.065768,16576.285654
40,3,16589.049495,16593.272992
40,4,16735.987271,16740.238713
40,5,16624.665271,16628.894709
40,6,16670.420440,16674.697758
40,7,16625.900020,16630.139661
40,8,16709.526387,16713.775377
40,9,16608.849567,16613.086281
40,10,16581.009515,16585.246073
60,1,16494.339535,16498.536465
60,2,16484.235492,16488.430639
60,3,16733.433126,16737.684782
60,4,16650.982919,16655.205975
60,5,16589.005250,16593.249799
60,6,16521.523073,16525.749304
60,7,16633.911585,16638.154123
60,8,16571.276022,16575.506447
60,9,16491.460560,16495.664428
60,10,16481.147109,16485.339332
80,1,16616.499938,16620.728702
80,2,16459.898049,16464.102815
80,3,16559.955437,16564.166227
80,4,16496.139421,16500.344921
80,5,16524.517171,16528.729620
80,6,16631.384568,16635.646557
80,7,16650.420837,16654.682130
80,8,16697.707853,16701.968063
80,9,16672.614843,16676.873257
80,10,16493.305025,16497.504844
100,1,16599.241859,16603.458913
100,2,16420.463198,16424.643661
100,3,16494.885524,16499.083647
100,4,16466.980009,16471.170759
100,5,16646.118666,16650.360803
100,6,16534.977968,16539.195971
100,7,16615.436174,16619.670303
100,8,16418.219986,16422.417478
100,9,16514.007373,16518.217669
100,10,16544.943853,16549.158860
