"Scale Factor","Iteration","TPS (incl)", "TPS (excl)"
1,1,19776.336172,19781.486954
1,2,19873.034372,19878.256991
1,3,19928.932872,19934.131307
1,4,20120.571068,20125.840760
1,5,20035.717305,20040.981818
1,6,19877.218046,19882.403933
1,7,19936.925591,19942.144528
1,8,20106.984274,20112.227023
1,9,19880.856911,19886.062867
1,10,19747.305950,19752.472883
20,1,19940.657545,19945.858013
20,2,19509.892042,19515.006782
20,3,20208.230320,20213.493660
20,4,20058.821301,20064.084891
20,5,19991.003215,19996.215932
20,6,19958.877852,19964.102030
20,7,19929.337965,19934.784936
20,8,19562.843581,19567.969906
20,9,19886.963575,19892.147726
20,10,19786.115354,19791.294496
40,1,19787.285700,19792.446193
40,2,20017.286445,20022.529560
40,3,19931.453923,19936.666716
40,4,19860.396953,19865.592531
40,5,19605.769591,19610.928289
40,6,19983.970475,19989.212119
40,7,19614.706616,19619.846504
40,8,19592.291678,19597.422660
40,9,19774.415375,19779.571651
40,10,19450.925736,19456.021752
60,1,19630.351255,19635.476394
60,2,20011.063534,20016.281618
60,3,19859.428834,19864.625949
60,4,19562.308805,19567.426517
60,5,19890.207050,19895.382017
60,6,19678.961487,19684.101817
60,7,19811.061544,19816.244565
60,8,19632.851287,19638.020586
60,9,19689.123333,19694.285889
60,10,19535.641206,19540.736149
80,1,20011.106380,20016.333208
80,2,19828.647540,19833.856539
80,3,19901.002182,19906.191077
80,4,19899.378182,19904.583690
80,5,19931.406203,19936.632657
80,6,20037.482719,20042.745299
80,7,19858.890980,19864.078956
80,8,19914.924728,19920.131644
80,9,20057.085554,20062.360581
80,10,19834.737221,19839.941547
100,1,20232.353868,20237.622062
100,2,20272.490453,20277.792333
100,3,20119.264925,20124.545119
100,4,20073.356246,20078.621041
100,5,20285.477488,20290.794957
100,6,20253.574455,20258.877856
100,7,20180.706633,20186.001037
100,8,20156.022441,20161.316321
100,9,20034.043019,20039.303225
100,10,20068.143957,20073.412256
