"Threads","Prob","Gets","Sets","Time","Ops/Sec"
1,20,1728398,441453,60,36164
1,50,1085337,1095754,60,36351
1,80,439750,1767564,60,36788
2,20,3308816,839555,60,69139
2,50,2085352,2093716,60,69651
2,80,855232,3418267,60,71224
3,20,3789206,956789,60,79099
3,50,2372563,2381706,60,79237
3,80,951421,3812849,60,79404
4,20,5554310,1399098,60,115890
4,50,3551213,3557765,60,118482
4,80,1453933,5820272,60,121236
5,20,5317664,1338747,60,110940
5,50,3364216,3373563,60,112296
5,80,1385717,5541615,60,115455
6,20,5643440,1419586,60,117717
6,50,3568094,3576948,60,119084
6,80,1467850,5879919,60,122462
7,20,5831530,1466459,60,121633
7,50,3665530,3680600,60,122435
7,80,1519617,6092033,60,126860
8,20,5949253,1494856,60,124068
8,50,3727436,3733893,60,124355
8,80,1445352,5788323,60,120561
9,20,6098239,1534619,60,127214
9,50,3837240,3845594,60,128047
9,80,1520024,6087876,60,126798
10,20,6101648,1534147,60,127263
10,50,3837472,3850332,60,128130
10,80,1447130,5800720,60,120797
11,20,6058167,1524497,60,126377
11,50,3655141,3662661,60,121963
11,80,1467954,5880682,60,122477
12,20,5959352,1501282,60,124343
12,50,3731174,3743021,60,124569
12,80,1571348,6289753,60,131018
13,20,5910474,1488227,60,123311
13,50,3710247,3719856,60,123835
13,80,1559938,6245866,60,130096
14,20,5968747,1501261,60,124500
14,50,3678342,3687475,60,122763
14,80,1561162,6254517,60,130261
15,20,5880126,1479696,60,122663
15,50,3802080,3806747,60,126813
15,80,1573479,6304344,60,131297
16,20,6054279,1524233,60,126308
16,50,3865580,3876692,60,129037
16,80,1604396,6422104,60,133775
