"Threads","Prob","Gets","Sets","Time","Ops/Sec"
1,20,3240933,819311,60,67670
1,50,1912583,1923173,60,63929
1,80,738283,2960863,60,61652
2,20,5517552,1390837,60,115139
2,50,3312615,3322597,60,110586
2,80,1291215,5172343,60,107725
3,20,6779921,1703815,60,141395
3,50,4056662,4068806,60,135424
3,80,1585353,6350828,60,132269
4,20,10487622,2630448,60,218634
4,50,6236305,6248045,60,208072
4,80,2395760,9600516,60,199937
5,20,10034018,2516499,60,209175
5,50,5900907,5910221,60,196852
5,80,2318850,9287367,60,193436
6,20,10438145,2619604,60,217629
6,50,6029025,6036666,60,201094
6,80,2315964,9270105,60,193101
7,20,10669688,2678898,60,222476
7,50,5588493,5599087,60,186459
7,80,1989654,7960165,60,165830
8,20,10036048,2519175,60,209253
8,50,5698231,5710936,60,190152
8,80,1964510,7860508,60,163750
9,20,10369952,2604776,60,216245
9,50,5349913,5358882,60,178479
9,80,1883623,7542831,60,157107
10,20,10271021,2578821,60,214164
10,50,5455603,5461465,60,181951
10,80,1919904,7695522,60,160257
11,20,9774860,2451502,60,203772
11,50,5385286,5396349,60,179693
11,80,1961676,7858051,60,163662
12,20,9623998,2416984,60,200683
12,50,5438975,5453410,60,181539
12,80,2048129,8205527,60,170894
13,20,9407606,2361171,60,196146
13,50,5272331,5290431,60,176046
13,80,2058686,8233549,60,171537
14,20,9282380,2328446,60,193513
14,50,5342092,5354602,60,178278
14,80,2066981,8269583,60,172276
15,20,9224582,2316379,60,192349
15,50,5226437,5240997,60,174457
15,80,2065361,8265829,60,172186
16,20,9198007,2309651,60,191794
16,50,5388383,5398923,60,179788
16,80,2120993,8481766,60,176712
