"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
87380,16384,1,10.00,2.03
87380,16384,2,10.00,4.06
87380,16384,4,10.00,7.27
87380,16384,8,10.00,15.67
87380,16384,16,10.00,31.20
87380,16384,32,10.00,99.86
87380,16384,64,10.00,198.69
87380,16384,128,10.00,360.64
87380,16384,256,10.00,621.63
87380,16384,512,10.00,1028.46
87380,16384,1024,10.00,1622.39
87380,16384,2048,10.00,2685.43
87380,16384,4096,10.00,3245.28
87380,16384,8192,10.00,3508.26
87380,16384,16384,10.00,4031.91
87380,16384,32768,10.00,3718.49
87380,16384,65536,10.00,3815.25
87380,16384,131072,10.00,4213.52
87380,16384,262144,10.00,4637.76
87380,16384,524288,10.00,5054.11
87380,16384,1048576,10.00,5231.75
