"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
87380,16384,1,10.00,1.73
87380,16384,2,10.00,3.64
87380,16384,4,10.00,7.02
87380,16384,8,10.00,14.40
87380,16384,16,10.00,28.99
87380,16384,32,10.00,57.81
87380,16384,64,10.00,115.25
87380,16384,128,10.00,228.86
87380,16384,256,10.00,448.63
87380,16384,512,10.00,877.38
87380,16384,1024,10.00,1594.98
87380,16384,2048,10.00,2958.09
87380,16384,4096,10.00,3877.01
87380,16384,8192,10.00,5508.24
87380,16384,16384,10.00,7556.85
87380,16384,32768,10.00,8869.31
87380,16384,65536,10.00,8410.24
87380,16384,131072,10.00,8391.32
87380,16384,262144,10.00,7859.54
87380,16384,524288,10.00,7759.49
87380,16384,1048576,10.00,7940.38
