"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
87380,16384,1,10.00,0.23
87380,16384,2,10.00,0.45
87380,16384,4,10.00,0.89
87380,16384,8,10.00,1.81
87380,16384,16,10.00,3.56
87380,16384,32,10.00,7.23
87380,16384,64,10.00,14.44
87380,16384,128,10.00,28.32
87380,16384,256,10.00,56.92
87380,16384,512,10.00,110.98
87380,16384,1024,10.00,226.25
87380,16384,2048,10.00,423.41
87380,16384,4096,10.00,806.96
87380,16384,8192,10.00,1467.84
87380,16384,16384,10.00,2489.29
87380,16384,32768,10.00,3840.73
87380,16384,65536,10.00,3772.71
87380,16384,131072,10.00,4233.03
87380,16384,262144,10.00,4613.31
87380,16384,524288,10.00,5018.11
87380,16384,1048576,10.00,5209.51
