"Recv Socket Size","Send Socket Size","Send Message Size", "Elapsed Time", "Throughput MB/s"
2304,212992,1,10.00,1.95
2304,212992,2,10.00,3.87
2304,212992,4,10.00,7.45
2304,212992,8,10.00,15.49
2304,212992,16,10.00,31.12
2304,212992,32,10.00,62.10
2304,212992,64,10.00,123.28
2304,212992,128,10.00,244.65
2304,212992,256,10.00,476.47
2304,212992,512,10.00,912.32
2304,212992,1024,10.00,1655.65
2304,212992,2048,10.00,2836.57
2304,212992,4096,10.00,3809.13
2304,212992,8192,10.00,4914.84
2304,212992,16384,10.00,5694.21
2304,212992,32768,10.00,5678.78
2304,212992,65536,10.00,5680.19
2304,212992,131072,10.00,5665.13
2304,212992,262144,10.00,5718.31
2304,212992,524288,10.00,5748.29
2304,212992,1048576,10.00,5767.89
