"Iteration","Time","Throughput (bps)","Bits","Bytes","Variance"
1,0.000010,0.749479,8,1,0.000000
1,0.000010,1.510989,16,2,0.000000
1,0.000010,2.266479,24,3,0.000000
1,0.000010,3.089950,32,4,0.000000
1,0.000010,4.597984,48,6,0.000000
1,0.000010,6.033825,64,8,0.000000
1,0.000010,9.182625,96,12,0.000000
1,0.000010,9.638662,104,13,0.000000
1,0.000010,11.954357,128,16,0.000000
1,0.000010,14.207989,152,19,0.000000
1,0.000010,15.893347,168,21,0.000000
1,0.000010,18.181881,192,24,0.000000
1,0.000010,20.348241,216,27,0.000000
1,0.000010,21.488892,232,29,0.000000
1,0.000010,24.046810,256,32,0.000000
1,0.000010,26.263184,280,35,0.000000
1,0.000010,33.614506,360,45,0.000000
1,0.000010,36.327235,384,48,0.000000
1,0.000010,38.680771,408,51,0.000000
1,0.000010,45.815372,488,61,0.000000
1,0.000010,48.439910,512,64,0.000000
1,0.000010,50.870315,536,67,0.000000
1,0.000010,69.233933,744,93,0.000000
1,0.000010,72.848000,768,96,0.000000
1,0.000010,73.500796,792,99,0.000000
1,0.000010,94.788812,1000,125,0.000000
1,0.000010,96.281250,1024,128,0.000000
1,0.000010,96.969908,1048,131,0.000000
1,0.000010,138.054903,1512,189,0.000000
1,0.000010,143.392832,1536,192,0.000000
1,0.000010,144.314392,1560,195,0.000000
1,0.000010,193.160842,2024,253,0.000000
1,0.000010,189.369551,2048,256,0.000000
1,0.000010,200.290518,2072,259,0.000000
1,0.000010,279.096150,3048,381,0.000000
1,0.000010,286.733170,3072,384,0.000000
1,0.000010,297.528737,3096,387,0.000000
1,0.000010,385.732092,4072,509,0.000000
1,0.000010,375.212117,4096,512,0.000000
1,0.000010,394.649172,4120,515,0.000000
1,0.000010,560.523943,6120,765,0.000000
1,0.000010,577.139338,6144,768,0.000000
1,0.000010,575.901635,6168,771,0.000000
1,0.000010,747.531302,8168,1021,0.000000
1,0.000010,758.033240,8192,1024,0.000000
1,0.000010,746.788976,8216,1027,0.000000
1,0.000011,1098.127293,12264,1533,0.000000
1,0.000011,1072.368397,12288,1536,0.000000
1,0.000011,1089.652587,12312,1539,0.000000
1,0.000011,1402.926676,16360,2045,0.000000
1,0.000011,1421.305789,16384,2048,0.000000
1,0.000011,1430.431599,16408,2051,0.000000
1,0.000011,2095.241561,24552,3069,0.000000
