"Iteration", "Perturbation", "Bytes","Throughput (Mbps)","Time (s)"
1,1,1,0.813835,0.00000937
1,1,2,1.638650,0.00000931
1,1,3,2.404170,0.00000952
1,1,4,3.218039,0.00000948
1,1,6,4.754770,0.00000963
1,1,8,6.589726,0.00000926
1,1,12,9.578474,0.00000956
1,1,13,10.770538,0.00000921
1,1,16,13.082092,0.00000933
1,1,19,15.501322,0.00000935
1,1,21,17.564802,0.00000912
1,1,24,19.362413,0.00000946
1,1,27,22.434907,0.00000918
1,1,29,23.126297,0.00000957
1,1,32,26.439193,0.00000923
1,1,35,28.066960,0.00000951
1,1,45,36.061544,0.00000952
1,1,48,39.303081,0.00000932
1,1,51,41.717843,0.00000933
1,1,61,48.664563,0.00000956
1,1,64,51.721541,0.00000944
1,1,67,55.761379,0.00000917
1,1,93,73.298983,0.00000968
1,1,96,81.082683,0.00000903
1,1,99,80.683001,0.00000936
1,1,125,100.014163,0.00000954
1,1,128,103.955282,0.00000939
1,1,131,106.091798,0.00000942
1,1,189,150.749598,0.00000957
1,1,192,153.750574,0.00000953
1,1,195,154.200412,0.00000965
1,1,253,201.985717,0.00000956
1,1,256,206.283990,0.00000947
1,1,259,207.185888,0.00000954
1,1,381,302.092448,0.00000962
1,1,384,304.041314,0.00000964
1,1,387,322.099622,0.00000917
1,1,509,418.818845,0.00000927
1,1,512,418.398935,0.00000934
1,1,515,425.967142,0.00000922
1,1,765,608.782562,0.00000959
1,1,768,630.117828,0.00000930
1,1,771,626.958730,0.00000938
1,1,1021,798.750875,0.00000975
1,1,1024,820.764372,0.00000952
1,1,1027,813.573249,0.00000963
1,1,1533,1175.922793,0.00000995
1,1,1536,1184.888240,0.00000989
1,1,1539,1192.670657,0.00000984
1,1,2045,1526.452908,0.00001022
1,1,2048,1538.399324,0.00001016
1,1,2051,1578.433149,0.00000991
1,1,3069,2306.058892,0.00001015
1,1,3072,2297.402950,0.00001020
1,1,3075,2290.205013,0.00001024
1,1,4093,2984.637272,0.00001046
1,1,4096,2997.405077,0.00001043
1,1,4099,3162.850859,0.00000989
1,1,6141,4373.546394,0.00001071
1,1,6144,4426.957713,0.00001059
1,1,6147,4561.212282,0.00001028
1,1,8189,5610.147824,0.00001114
1,1,8192,5662.039974,0.00001104
1,1,8195,5804.051780,0.00001077
1,1,12285,8140.952398,0.00001151
1,1,12288,7985.355369,0.00001174
1,1,12291,7989.865548,0.00001174
1,1,16381,9747.368358,0.00001282
1,1,16384,10070.664713,0.00001241
1,1,16387,9842.218147,0.00001270
1,1,24573,13271.792371,0.00001413
1,1,24576,13128.668438,0.00001428
1,1,24579,13448.715221,0.00001394
1,1,32765,16739.386825,0.00001493
1,1,32768,16209.776973,0.00001542
1,1,32771,16030.491006,0.00001560
1,1,49149,18343.052576,0.00002044
1,1,49152,18438.294697,0.00002034
1,1,49155,18345.384286,0.00002044
1,1,65533,18217.387467,0.00002745
1,1,65536,18197.045198,0.00002748
1,1,65539,18348.776451,0.00002725
1,1,98301,23249.612464,0.00003226
1,1,98304,23279.945582,0.00003222
1,1,98307,23315.672441,0.00003217
1,1,131069,26559.412040,0.00003765
1,1,131072,26731.157901,0.00003741
1,1,131075,26696.895449,0.00003746
1,1,196605,30761.439279,0.00004876
1,1,196608,30752.965110,0.00004878
1,1,196611,30766.691900,0.00004875
1,1,262141,31289.392333,0.00006392
1,1,262144,31283.087806,0.00006393
1,1,262147,31247.533304,0.00006401
1,1,393213,35057.566549,0.00008557
1,1,393216,34964.128198,0.00008580
1,1,393219,35046.261716,0.00008560
1,1,524285,38627.443284,0.00010355
1,1,524288,38589.294088,0.00010366
1,1,524291,38605.818965,0.00010361
1,1,786429,40329.491175,0.00014877
1,1,786432,40108.322964,0.00014959
1,1,786435,40123.084640,0.00014954
1,1,1048573,41236.603846,0.00019400
1,1,1048576,41569.400640,0.00019245
1,1,1048579,41541.975191,0.00019258
1,1,1572861,42598.313396,0.00028170
1,1,1572864,42242.781772,0.00028407
1,1,1572867,42282.524596,0.00028381
1,1,2097149,38268.060533,0.00041810
1,1,2097152,40038.177445,0.00039962
1,1,2097155,40213.227487,0.00039788
1,1,3145725,27679.484726,0.00086707
1,1,3145728,27977.774391,0.00085782
1,1,3145731,26556.530741,0.00090373
1,1,4194301,21531.280923,0.00148621
1,1,4194304,22097.145671,0.00144815
1,1,4194307,22080.640712,0.00144923
1,1,6291453,23729.521634,0.00202280
1,1,6291456,23626.068798,0.00203165
1,1,6291459,23608.980514,0.00203313
1,1,8388605,23883.942356,0.00267962
1,1,8388608,23868.708853,0.00268133
1,1,8388611,23905.857357,0.00267717
1,1,12582909,24174.052322,0.00397120
1,1,12582912,24290.145286,0.00395222
1,1,12582915,24299.954285,0.00395063
1,1,16777213,23895.307849,0.00535670
1,1,16777216,24004.243647,0.00533239
1,1,16777219,24012.777450,0.00533050
2,2,1,0.809550,0.00000942
2,2,2,1.625688,0.00000939
2,2,3,2.439385,0.00000938
2,2,4,3.242574,0.00000941
2,2,6,4.794554,0.00000955
2,2,8,6.393910,0.00000955
2,2,12,9.790040,0.00000935
2,2,13,10.668079,0.00000930
2,2,16,12.783904,0.00000955
2,2,19,15.565891,0.00000931
2,2,21,16.627916,0.00000964
2,2,24,19.335591,0.00000947
2,2,27,21.803708,0.00000945
2,2,29,23.047076,0.00000960
2,2,32,25.674552,0.00000951
2,2,35,29.171413,0.00000915
2,2,45,35.620230,0.00000964
2,2,48,38.318968,0.00000956
2,2,51,41.430998,0.00000939
2,2,61,49.446206,0.00000941
2,2,64,52.485004,0.00000930
2,2,67,54.172072,0.00000944
2,2,93,73.915796,0.00000960
2,2,96,77.459156,0.00000946
2,2,99,79.816600,0.00000946
2,2,125,99.851860,0.00000955
2,2,128,102.370677,0.00000954
2,2,131,104.999722,0.00000952
2,2,189,149.338743,0.00000966
2,2,192,154.184837,0.00000950
2,2,195,165.256688,0.00000900
2,2,253,202.478419,0.00000953
2,2,256,206.769136,0.00000945
2,2,259,207.708172,0.00000951
2,2,381,300.734166,0.00000967
2,2,384,309.820583,0.00000946
2,2,387,310.458180,0.00000951
2,2,509,400.964972,0.00000969
2,2,512,412.651636,0.00000947
2,2,515,415.748163,0.00000945
2,2,765,606.484185,0.00000962
2,2,768,609.821060,0.00000961
2,2,771,619.355029,0.00000950
2,2,1021,840.189211,0.00000927
2,2,1024,795.552723,0.00000982
2,2,1027,807.479789,0.00000970
2,2,1533,1181.395935,0.00000990
2,2,1536,1155.377017,0.00001014
2,2,1539,1211.564334,0.00000969
2,2,2045,1514.159211,0.00001030
