"Iteration", "Perturbation", "Bytes","Throughput (Mbps)","Time (s)"
1,1,1,0.835585,0.00000913
1,1,2,2.783012,0.00000548
1,1,3,4.466979,0.00000512
1,1,4,7.461940,0.00000409
1,1,6,8.393498,0.00000545
1,1,8,12.443507,0.00000490
1,1,12,16.706883,0.00000548
1,1,13,18.107148,0.00000548
1,1,16,22.585496,0.00000540
1,1,19,26.602157,0.00000545
1,1,21,29.500645,0.00000543
1,1,24,34.620830,0.00000529
1,1,27,38.317470,0.00000538
1,1,29,52.042031,0.00000425
1,1,32,59.581712,0.00000410
1,1,35,48.935676,0.00000546
1,1,45,62.739863,0.00000547
1,1,48,67.093428,0.00000546
1,1,51,71.281451,0.00000546
1,1,61,85.155854,0.00000547
1,1,64,89.544737,0.00000545
1,1,67,93.741133,0.00000545
1,1,93,129.718148,0.00000547
1,1,96,134.764922,0.00000543
1,1,99,139.308536,0.00000542
1,1,125,263.091303,0.00000362
1,1,128,191.955283,0.00000509
1,1,131,182.800361,0.00000547
1,1,189,264.220378,0.00000546
1,1,192,268.046838,0.00000546
1,1,195,301.599550,0.00000493
1,1,253,405.564485,0.00000476
1,1,256,361.751120,0.00000540
1,1,259,361.057632,0.00000547
1,1,381,533.062435,0.00000545
1,1,384,538.423877,0.00000544
1,1,387,543.175715,0.00000544
1,1,509,1065.359820,0.00000365
1,1,512,754.002723,0.00000518
1,1,515,714.938328,0.00000550
1,1,765,1562.770373,0.00000373
1,1,768,1072.523948,0.00000546
1,1,771,1078.475432,0.00000545
1,1,1021,2101.303094,0.00000371
1,1,1024,2117.999376,0.00000369
1,1,1027,2123.405262,0.00000369
1,1,1533,2321.201061,0.00000504
1,1,1536,2120.320063,0.00000553
1,1,1539,3080.343934,0.00000381
1,1,2045,2802.791373,0.00000557
1,1,2048,2816.010416,0.00000555
1,1,2051,2837.174810,0.00000552
1,1,3069,4335.800296,0.00000540
1,1,3072,4265.830617,0.00000549
1,1,3075,4293.076139,0.00000546
1,1,4093,5681.464169,0.00000550
1,1,4096,5743.237633,0.00000544
1,1,4099,5748.509269,0.00000544
1,1,6141,8195.978951,0.00000572
1,1,6144,8367.488618,0.00000560
1,1,6147,9798.936608,0.00000479
1,1,8189,13341.188917,0.00000468
1,1,8192,11176.984509,0.00000559
1,1,8195,10707.314191,0.00000584
1,1,12285,14654.142710,0.00000640
1,1,12288,14848.150246,0.00000631
1,1,12291,14907.706446,0.00000629
1,1,16381,19050.358256,0.00000656
