"Scale Factor","Iteration","TPS (incl)", "TPS (excl)"
1,1,107.923827,107.925544
1,2,107.820399,107.822118
1,3,107.600918,107.602627
1,4,107.357946,107.359658
1,5,107.746075,107.747791
1,6,107.511638,107.513356
1,7,107.393766,107.395483
1,8,107.436995,107.438778
1,9,107.445943,107.447724
1,10,107.373875,107.375598
1,11,107.358890,107.360603
1,12,107.526973,107.528683
1,13,107.600456,107.602172
1,14,107.554174,107.555897
1,15,107.352164,107.353940
1,16,107.257488,107.259261
1,17,107.369125,107.370834
1,18,107.389748,107.391459
1,19,107.372107,107.373823
1,20,107.260707,107.262476
20,1,95.111292,95.112823
20,2,96.036097,96.037627
20,3,95.532524,95.534044
20,4,96.483307,96.484837
20,5,95.884533,95.886067
20,6,96.609369,96.610905
20,7,95.040534,95.042052
20,8,96.168323,96.169859
20,9,95.518239,95.519768
20,10,95.321102,95.322637
20,11,95.647308,95.648836
20,12,96.449211,96.450754
20,13,94.116485,94.117991
20,14,95.856849,95.858384
20,15,96.514166,96.515712
20,16,94.951062,94.952583
20,17,97.427570,97.429117
20,18,94.828072,94.829638
20,19,96.151214,96.152749
20,20,95.526955,95.528530
40,1,88.300860,88.302270
40,2,88.390762,88.392172
40,3,89.471317,89.472741
40,4,86.424807,86.426185
40,5,88.670553,88.672013
40,6,87.932521,87.933919
40,7,87.199469,87.200858
40,8,87.894578,87.896023
40,9,87.935888,87.937293
40,10,87.830637,87.832035
40,11,87.988968,87.990418
40,12,88.849701,88.851118
40,13,86.302536,86.303960
40,14,86.757960,86.759347
40,15,88.493870,88.495287
40,16,87.566074,87.567477
40,17,88.064150,88.065556
40,18,88.660965,88.662427
40,19,84.507759,84.509109
40,20,88.966583,88.968053
60,1,83.962536,83.963883
60,2,85.242407,85.243814
60,3,83.164290,83.165613
60,4,84.516573,84.517920
60,5,85.144555,85.145909
60,6,85.464983,85.466347
60,7,84.722332,84.723694
60,8,83.312324,83.313660
60,9,86.061082,86.062455
60,10,83.506578,83.507914
60,11,86.108148,86.109520
60,12,82.863996,82.865376
60,13,84.056063,84.057457
60,14,85.762054,85.763422
60,15,84.598202,84.599557
60,16,85.492518,85.493881
60,17,84.533847,84.535197
60,18,85.610961,85.612336
60,19,83.280521,83.281846
60,20,86.346313,86.347748
80,1,84.127553,84.128943
80,2,84.934811,84.936168
80,3,81.785796,81.787098
80,4,83.724565,83.725903
80,5,82.606056,82.607422
80,6,85.599786,85.601141
80,7,83.199544,83.200874
80,8,84.789699,84.791045
80,9,83.448198,83.449530
80,10,83.231039,83.232368
80,11,83.896167,83.897507
80,12,84.664942,84.666335
80,13,82.990594,82.991917
80,14,84.035782,84.037116
80,15,83.499674,83.501012
80,16,84.669270,84.670617
80,17,83.554672,83.556005
80,18,85.049576,85.050933
80,19,83.600219,83.601601
80,20,84.674142,84.675537
100,1,82.966633,82.967967
100,2,83.081983,83.083307
100,3,83.176240,83.177559
100,4,82.971851,82.973166
100,5,83.166516,83.167864
100,6,83.814161,83.815496
100,7,82.723093,82.724462
100,8,82.838239,82.839564
100,9,82.826140,82.827512
100,10,84.379455,84.380802
100,11,84.034431,84.035774
100,12,82.102875,82.104189
100,13,80.851187,80.852521
100,14,84.376077,84.377427
100,15,84.591050,84.592442
100,16,83.477872,83.479202
100,17,84.301475,84.302817
100,18,83.185657,83.187032
100,19,83.677169,83.678551
100,20,83.280799,83.282162
