"Scale Factor","Iteration","TPS (incl)", "TPS (excl)"
1,1,107.382700,107.384495
1,2,107.197446,107.199208
1,3,107.420892,107.422661
1,4,107.839538,107.841306
1,5,107.462351,107.464153
1,6,107.224815,107.226628
1,7,107.231626,107.233393
1,8,107.887017,107.888790
1,9,107.452769,107.454546
1,10,106.842879,106.844661
1,11,106.843512,106.845281
1,12,107.837841,107.839659
1,13,107.203763,107.205522
1,14,106.987528,106.989295
1,15,107.005522,107.007304
1,16,106.951837,106.953614
1,17,106.945780,106.947531
1,18,107.159200,107.160973
1,19,107.246541,107.248303
1,20,107.554382,107.556161
20,1,93.437546,93.439079
20,2,96.961416,96.963043
20,3,94.303211,94.304761
20,4,97.384092,97.385726
20,5,93.608174,93.609719
20,6,96.308286,96.309872
20,7,93.998883,94.000432
20,8,95.522967,95.524540
20,9,95.307084,95.308646
20,10,94.169159,94.170705
20,11,96.750958,96.752557
20,12,95.056169,95.057736
20,13,95.841026,95.842605
20,14,95.382005,95.383575
20,15,94.714284,94.715844
20,16,97.044056,97.045660
20,17,92.104025,92.105540
20,18,97.345543,97.347141
20,19,93.751232,93.752773
20,20,94.483293,94.484881
40,1,85.925527,85.926944
40,2,87.022219,87.023654
40,3,88.475815,88.477266
40,4,87.204511,87.205944
40,5,86.863945,86.865404
40,6,87.996091,87.997536
40,7,87.546168,87.547638
40,8,87.803180,87.804622
40,9,87.195621,87.197054
40,10,86.789667,86.791101
40,11,88.282350,88.283813
40,12,87.645772,87.647219
40,13,85.454011,85.455457
40,14,89.627348,89.628822
40,15,85.677134,85.678590
40,16,88.232444,88.233898
40,17,86.053199,86.054608
40,18,88.661618,88.663082
40,19,86.627909,86.629339
40,20,88.784878,88.786345
60,1,85.254757,85.256158
60,2,85.605680,85.607088
60,3,85.900836,85.902246
60,4,84.846054,84.847446
60,5,84.719171,84.720595
60,6,84.829260,84.830658
60,7,84.090485,84.091870
60,8,85.573861,85.575258
60,9,84.842476,84.843873
60,10,82.767256,82.768626
60,11,84.801452,84.802850
60,12,84.343101,84.344497
60,13,85.664204,85.665615
60,14,84.210486,84.211904
60,15,84.538980,84.540371
60,16,85.357985,85.359396
60,17,83.681047,83.682430
60,18,86.213294,86.214713
60,19,85.470835,85.472256
60,20,87.460546,87.461985
80,1,85.772979,85.774399
80,2,85.891219,85.892631
80,3,85.516309,85.517713
80,4,86.377190,86.378621
80,5,86.295440,86.296868
80,6,86.121353,86.122763
80,7,84.964197,84.965601
80,8,85.203276,85.204679
80,9,85.249123,85.250531
80,10,86.774391,86.775816
80,11,86.380770,86.382196
80,12,86.515730,86.517154
80,13,85.709971,85.711384
80,14,86.783220,86.784653
80,15,86.785678,86.787114
80,16,86.096504,86.097919
80,17,87.422923,87.424396
80,18,85.894266,85.895711
80,19,87.490821,87.492265
80,20,86.359847,86.361264
100,1,84.914039,84.915432
100,2,84.481024,84.482411
100,3,85.472599,85.474005
100,4,85.077694,85.079088
100,5,84.764738,84.766124
100,6,86.109910,86.111334
100,7,84.771218,84.772606
100,8,83.531044,83.532412
100,9,82.424190,82.425533
100,10,84.746347,84.747735
100,11,86.192245,86.193660
100,12,85.464009,85.465406
100,13,86.027131,86.028538
100,14,84.649491,84.650886
100,15,84.489198,84.490582
100,16,86.141582,86.143000
100,17,84.440262,84.441684
100,18,84.994977,84.996365
100,19,83.898026,83.899432
100,20,86.057821,86.059238
