"Iteration","Time","Throughput (bps)","Bits","Bytes","Variance","Iteration","Time","Throughput (bps)","Bits","Bytes","Variance"
1,0.000004,1.790794,8,1,0.000000,1,0.000010,0.749479,8,1,0.000000
2,0.000005,1.609609,8,1,0.000000,2,0.000010,0.756824,8,1,0.000000
3,0.000005,1.397270,8,1,0.000000,3,0.000010,0.742100,8,1,0.000000
4,0.000005,1.672980,8,1,0.000000,4,0.000010,0.756854,8,1,0.000000
5,0.000004,1.897783,8,1,0.000000,5,0.000010,0.742100,8,1,0.000000
1,0.000005,3.009700,16,2,0.000000,1,0.000010,1.510989,16,2,0.000000
2,0.000005,3.305110,16,2,0.000000,2,0.000010,1.535102,16,2,0.000000
3,0.000005,2.828436,16,2,0.000000,3,0.000010,1.490153,16,2,0.000000
4,0.000005,2.940200,16,2,0.000000,4,0.000010,1.541418,16,2,0.000000
5,0.000005,3.382828,16,2,0.000000,5,0.000010,1.499184,16,2,0.000000
1,0.000005,4.560067,24,3,0.000000,1,0.000010,2.266479,24,3,0.000000
2,0.000005,4.898795,24,3,0.000000,2,0.000010,2.284368,24,3,0.000000
3,0.000005,4.552194,24,3,0.000000,3,0.000010,2.239647,24,3,0.000000
4,0.000005,4.622933,24,3,0.000000,4,0.000010,2.275663,24,3,0.000000
5,0.000005,4.264049,24,3,0.000000,5,0.000010,2.276031,24,3,0.000000
1,0.000005,5.676955,32,4,0.000000,1,0.000010,3.089950,32,4,0.000000
2,0.000005,5.759752,32,4,0.000000,2,0.000010,3.048824,32,4,0.000000
3,0.000004,7.521163,32,4,0.000000,3,0.000010,3.007133,32,4,0.000000
4,0.000005,5.613731,32,4,0.000000,4,0.000010,3.037095,32,4,0.000000
5,0.000005,6.316936,32,4,0.000000,5,0.000010,3.010523,32,4,0.000000
1,0.000005,8.772718,48,6,0.000000,1,0.000010,4.597984,48,6,0.000000
2,0.000005,9.473031,48,6,0.000000,2,0.000010,4.560834,48,6,0.000000
3,0.000005,9.257444,48,6,0.000000,3,0.000010,4.451151,48,6,0.000000
4,0.000004,11.002280,48,6,0.000000,4,0.000010,4.471944,48,6,0.000000
5,0.000005,8.687662,48,6,0.000000,5,0.000010,4.503616,48,6,0.000000
1,0.000004,14.919351,64,8,0.000000,1,0.000010,6.033825,64,8,0.000000
2,0.000005,12.006056,64,8,0.000000,2,0.000010,6.032796,64,8,0.000000
3,0.000004,13.837187,64,8,0.000000,3,0.000010,6.313375,64,8,0.000000
4,0.000005,11.389311,64,8,0.000000,4,0.000010,5.986352,64,8,0.000000
5,0.000005,12.813598,64,8,0.000000,5,0.000010,6.028507,64,8,0.000000
1,0.000005,19.867464,96,12,0.000000,1,0.000010,9.182625,96,12,0.000000
2,0.000005,19.677435,96,12,0.000000,2,0.000010,9.301640,96,12,0.000000
3,0.000005,19.714727,96,12,0.000000,3,0.000010,9.219165,96,12,0.000000
4,0.000005,18.797974,96,12,0.000000,4,0.000010,9.051909,96,12,0.000000
5,0.000005,17.063141,96,12,0.000000,5,0.000010,9.027744,96,12,0.000000
1,0.000005,18.451955,104,13,0.000000,1,0.000010,9.638662,104,13,0.000000
2,0.000004,22.543038,104,13,0.000000,2,0.000010,9.949238,104,13,0.000000
3,0.000004,24.446770,104,13,0.000000,3,0.000010,9.768284,104,13,0.000000
4,0.000005,18.525848,104,13,0.000000,4,0.000010,9.869340,104,13,0.000000
5,0.000004,24.220377,104,13,0.000000,5,0.000010,9.842508,104,13,0.000000
1,0.000005,25.564481,128,16,0.000000,1,0.000010,11.954357,128,16,0.000000
2,0.000005,24.816219,128,16,0.000000,2,0.000010,12.179665,128,16,0.000000
3,0.000005,22.915379,128,16,0.000000,3,0.000010,11.806011,128,16,0.000000
4,0.000005,24.136332,128,16,0.000000,4,0.000010,12.134109,128,16,0.000000
5,0.000005,22.703469,128,16,0.000000,5,0.000010,11.997466,128,16,0.000000
1,0.000005,26.681409,152,19,0.000000,1,0.000010,14.207989,152,19,0.000000
2,0.000004,35.571440,152,19,0.000000,2,0.000010,14.578978,152,19,0.000000
3,0.000005,28.240681,152,19,0.000000,3,0.000010,14.657523,152,19,0.000000
4,0.000005,26.870477,152,19,0.000000,4,0.000010,14.370433,152,19,0.000000
5,0.000005,28.940788,152,19,0.000000,5,0.000010,14.310511,152,19,0.000000
1,0.000005,33.498078,168,21,0.000000,1,0.000010,15.893347,168,21,0.000000
2,0.000005,29.560084,168,21,0.000000,2,0.000010,15.901569,168,21,0.000000
3,0.000005,30.421493,168,21,0.000000,3,0.000010,15.362579,168,21,0.000000
4,0.000005,30.648625,168,21,0.000000,4,0.000010,15.624425,168,21,0.000000
5,0.000004,38.407067,168,21,0.000000,5,0.000010,15.463202,168,21,0.000000
1,0.000005,35.251345,192,24,0.000000,1,0.000010,18.181881,192,24,0.000000
2,0.000005,36.560445,192,24,0.000000,2,0.000010,18.136220,192,24,0.000000
3,0.000005,33.886290,192,24,0.000000,3,0.000010,18.006307,192,24,0.000000
4,0.000005,34.543028,192,24,0.000000,4,0.000010,18.036448,192,24,0.000000
5,0.000005,36.578077,192,24,0.000000,5,0.000010,18.407812,192,24,0.000000
1,0.000006,37.058209,216,27,0.000000,1,0.000010,20.348241,216,27,0.000000
2,0.000004,46.689248,216,27,0.000000,2,0.000010,20.645278,216,27,0.000000
3,0.000004,50.004581,216,27,0.000000,3,0.000010,20.266511,216,27,0.000000
4,0.000004,49.685380,216,27,0.000000,4,0.000010,20.186224,216,27,0.000000
5,0.000005,40.823686,216,27,0.000000,5,0.000010,20.659712,216,27,0.000000
1,0.000004,52.028139,232,29,0.000000,1,0.000010,21.488892,232,29,0.000000
2,0.000005,42.371103,232,29,0.000000,2,0.000010,22.195020,232,29,0.000000
3,0.000004,49.523837,232,29,0.000000,3,0.000010,21.593845,232,29,0.000000
4,0.000004,53.903122,232,29,0.000000,4,0.000010,22.202733,232,29,0.000000
5,0.000005,40.767872,232,29,0.000000,5,0.000010,22.210942,232,29,0.000000
1,0.000005,45.138194,256,32,0.000000,1,0.000010,24.046810,256,32,0.000000
2,0.000004,54.255573,256,32,0.000000,2,0.000010,24.631754,256,32,0.000000
3,0.000005,49.963760,256,32,0.000000,3,0.000010,24.267785,256,32,0.000000
4,0.000005,45.147579,256,32,0.000000,4,0.000010,24.137049,256,32,0.000000
5,0.000004,59.661477,256,32,0.000000,5,0.000010,23.474328,256,32,0.000000
1,0.000005,51.833137,280,35,0.000000,1,0.000010,26.263184,280,35,0.000000
2,0.000005,50.847463,280,35,0.000000,2,0.000010,27.522455,280,35,0.000000
3,0.000005,49.541593,280,35,0.000000,3,0.000010,26.908774,280,35,0.000000
4,0.000005,54.651948,280,35,0.000000,4,0.000010,26.561281,280,35,0.000000
5,0.000005,55.912354,280,35,0.000000,5,0.000010,26.230446,280,35,0.000000
1,0.000004,81.719642,360,45,0.000000,1,0.000010,33.614506,360,45,0.000000
2,0.000005,70.483549,360,45,0.000000,2,0.000010,33.588586,360,45,0.000000
3,0.000005,73.679571,360,45,0.000000,3,0.000010,32.838093,360,45,0.000000
4,0.000005,65.608306,360,45,0.000000,4,0.000010,33.876883,360,45,0.000000
5,0.000004,81.503702,360,45,0.000000,5,0.000010,34.288303,360,45,0.000000
1,0.000005,75.664555,384,48,0.000000,1,0.000010,36.327235,384,48,0.000000
2,0.000005,70.001520,384,48,0.000000,2,0.000010,36.520313,384,48,0.000000
3,0.000004,82.638867,384,48,0.000000,3,0.000010,35.814534,384,48,0.000000
4,0.000005,76.231715,384,48,0.000000,4,0.000010,36.499032,384,48,0.000000
5,0.000005,67.550104,384,48,0.000000,5,0.000010,36.391525,384,48,0.000000
1,0.000005,79.182180,408,51,0.000000,1,0.000010,38.680771,408,51,0.000000
2,0.000005,76.319171,408,51,0.000000,2,0.000010,38.774168,408,51,0.000000
3,0.000004,89.297144,408,51,0.000000,3,0.000010,38.357633,408,51,0.000000
4,0.000004,94.701914,408,51,0.000000,4,0.000010,38.196354,408,51,0.000000
5,0.000005,79.584592,408,51,0.000000,5,0.000010,38.302142,408,51,0.000000
1,0.000005,86.776240,488,61,0.000000,1,0.000010,45.815372,488,61,0.000000
2,0.000005,91.316833,488,61,0.000000,2,0.000010,45.692685,488,61,0.000000
3,0.000004,112.590027,488,61,0.000000,3,0.000010,46.606806,488,61,0.000000
4,0.000005,90.282452,488,61,0.000000,4,0.000010,46.899929,488,61,0.000000
5,0.000004,107.885046,488,61,0.000000,5,0.000010,45.827003,488,61,0.000000
1,0.000005,98.191678,512,64,0.000000,1,0.000010,48.439910,512,64,0.000000
2,0.000005,95.378930,512,64,0.000000,2,0.000010,48.311836,512,64,0.000000
3,0.000005,89.928352,512,64,0.000000,3,0.000010,47.712036,512,64,0.000000
4,0.000005,90.984330,512,64,0.000000,4,0.000010,49.998365,512,64,0.000000
5,0.000005,98.698587,512,64,0.000000,5,0.000010,48.451917,512,64,0.000000
1,0.000005,93.975397,536,67,0.000000,1,0.000010,50.870315,536,67,0.000000
2,0.000004,122.002355,536,67,0.000000,2,0.000010,51.133005,536,67,0.000000
3,0.000004,123.204791,536,67,0.000000,3,0.000010,50.298312,536,67,0.000000
4,0.000004,124.647482,536,67,0.000000,4,0.000010,51.503230,536,67,0.000000
5,0.000004,123.898010,536,67,0.000000,5,0.000010,50.685045,536,67,0.000000
1,0.000005,137.427004,744,93,0.000000,1,0.000010,69.233933,744,93,0.000000
2,0.000005,145.352414,744,93,0.000000,2,0.000010,70.361678,744,93,0.000000
3,0.000005,154.173525,744,93,0.000000,3,0.000010,71.044765,744,93,0.000000
4,0.000005,130.200385,744,93,0.000000,4,0.000010,70.093660,744,93,0.000000
5,0.000004,163.836827,744,93,0.000000,5,0.000010,68.480279,744,93,0.000000
1,0.000005,137.062658,768,96,0.000000,1,0.000010,72.848000,768,96,0.000000
2,0.000004,169.534517,768,96,0.000000,2,0.000010,72.267074,768,96,0.000000
3,0.000004,174.499569,768,96,0.000000,3,0.000010,73.189534,768,96,0.000000
4,0.000005,136.168137,768,96,0.000000,4,0.000010,72.861574,768,96,0.000000
5,0.000004,166.784133,768,96,0.000000,5,0.000010,72.276115,768,96,0.000000
